iter	RMSE
0	0.3776039169
1	0.3660924937
2	0.3547703667
3	0.3447449411
4	0.334494477
5	0.3240902624
6	0.3140336654
7	0.3062551631
8	0.2978730021
9	0.2906749008
10	0.2828153392
11	0.2752769506
12	0.2677924323
13	0.2615650885
14	0.2557970928
15	0.2497815868
16	0.2442563084
17	0.238502684
18	0.2330579863
19	0.2275582364
20	0.2221809036
21	0.21770197
22	0.2134892736
23	0.2090007849
24	0.2045079356
25	0.2008167961
26	0.1969679996
27	0.1933973454
28	0.1901374804
29	0.1867916716
30	0.1839292651
31	0.1813041631
32	0.1789852772
33	0.1762616385
34	0.1739617409
35	0.1717797176
36	0.169481207
37	0.1670834503
38	0.1649727537
39	0.1631514102
40	0.161178773
41	0.1593212297
42	0.1576725876
43	0.1557549082
44	0.1541232784
45	0.1524790379
46	0.1509665693
47	0.1494212324
48	0.1478082569
49	0.1464625807
50	0.1452465607
51	0.1439259001
52	0.1426513303
53	0.141398358
54	0.140346019
55	0.139083739
56	0.1377764713
57	0.1367677305
58	0.1358076925
59	0.1348727871
60	0.1338897062
61	0.1328817593
62	0.1317944675
63	0.1309069639
64	0.1301596178
65	0.1292932572
66	0.1283565957
67	0.1274915112
68	0.126629771
69	0.1259353085
70	0.1251853917
71	0.1243564858
72	0.123566166
73	0.1228637605
74	0.1221901333
75	0.1215723712
76	0.1207938349
77	0.1200987677
78	0.1193359182
79	0.1188035854
80	0.1181918054
81	0.1175563835
82	0.1171001198
83	0.1166341219
84	0.116148203
85	0.1157569404
86	0.115265721
87	0.1146862525
88	0.1141446024
89	0.1137486078
90	0.1131847816
91	0.1126595542
92	0.1121367156
93	0.1116425992
94	0.111264309
95	0.1108300542
96	0.1103945198
97	0.1100234831
98	0.1096141017
99	0.1091737162
100	0.108925625
101	0.1084821286
102	0.1079801222
103	0.1076880757
104	0.1073126471
105	0.1069451323
106	0.1067897577
107	0.1065268232
108	0.1062513535
109	0.1058028309
110	0.1054222442
111	0.1051240523
112	0.1047328577
113	0.1044735196
114	0.104123515
115	0.1038015181
116	0.1035000318
117	0.1032448018
118	0.1029027268
119	0.1025979215
120	0.1024449625
121	0.1022388599
122	0.1019305724
123	0.1015767467
124	0.101269174
125	0.1008828393
126	0.1006246802
127	0.1005525506
128	0.1003000616
129	0.1000333575
130	0.09980284299
131	0.09958194682
132	0.09923827019
133	0.09897246143
134	0.09868953939
135	0.09860632604
136	0.09835346663
137	0.0981319026
138	0.09782722093
139	0.0976954021
140	0.09729492528
141	0.09701003005
142	0.09692299633
143	0.09679765298
144	0.09663641176
145	0.09644278018
146	0.0961142317
147	0.09585935281
148	0.0955324938
149	0.09544064694
150	0.09522154834
151	0.0950192265
152	0.09478804245
153	0.09461911738
154	0.09450022341
155	0.09423571469
156	0.09405268353
157	0.09378372684
158	0.09355278759
159	0.09332940131
160	0.09310424146
161	0.09285526962
162	0.09260879551
163	0.09230591469
164	0.09220479094
165	0.09204931015
166	0.09180716066
167	0.09173879921
168	0.09161551225
169	0.0914673688
170	0.09126879239
171	0.09108598623
172	0.09096639284
173	0.09079941734
174	0.09065607373
175	0.09039342404
176	0.09014375932
177	0.09005899259
178	0.08998192821
179	0.08990623771
180	0.08965482627
181	0.08958969165
182	0.08942012256
183	0.08918584501
184	0.0889344412
185	0.08863362429
186	0.08851936373
187	0.08835471542
188	0.08827116705
189	0.08821199838
190	0.08803546971
191	0.08776504332
192	0.08755689844
193	0.08730055015
194	0.08707369807
195	0.08694576602
196	0.08675613474
197	0.08662624674
198	0.08642018216
199	0.08623226483
200	0.08614933062
201	0.08597890667
202	0.08586561393
203	0.08567300809
204	0.08539742857
205	0.08515408859
206	0.08496959184
207	0.08479144992
208	0.08458935351
209	0.08455201702
210	0.08434244045
211	0.08417099218
212	0.08394765368
213	0.0838252602
214	0.08357606518
215	0.08332918537
216	0.0831230122
217	0.08301033545
218	0.08278625675
219	0.08262047888
220	0.08248549566
221	0.08229354994
222	0.08207606457
223	0.08200491635
224	0.08186731982
225	0.08166581833
226	0.0814658564
227	0.08131384344
228	0.08107906482
229	0.08094930039
230	0.08087402672
231	0.08079460346
232	0.08060891766
233	0.08041057438
234	0.08024897114
235	0.08021058632
236	0.08001461931
237	0.07976798911
238	0.07961107494
239	0.07952534384
240	0.07943315551
241	0.07923561402
242	0.07916526877
243	0.07901769947
244	0.07883350315
245	0.07867097659
246	0.07843587417
247	0.07829113268
248	0.07825427102
249	0.07815609125
250	0.07808235031
251	0.07789489695
252	0.07768885123
253	0.07750911957
254	0.07733287484
255	0.07718034458
256	0.07703810428
257	0.0770061685
258	0.07693199088
259	0.07683955538
260	0.07670486871
261	0.0764726548
262	0.07630544401
263	0.07612518785
264	0.07590057545
265	0.0757543686
266	0.07553185589
267	0.07541985945
268	0.07528017175
269	0.07516318902
270	0.07505373502
271	0.0748753226
272	0.074664366
273	0.07458250001
274	0.07445881364
275	0.07438381636
276	0.07420513371
277	0.07401656057
278	0.07383411116
279	0.07372038348
280	0.07357775521
281	0.07338013961
282	0.07326208878
283	0.0731088218
284	0.07309031054
285	0.07293588066
286	0.07271689517
287	0.07258933544
288	0.07242146907
289	0.07234618932
290	0.07207196003
291	0.07186530291
292	0.07169623134
293	0.07156701089
294	0.07134831207
295	0.07122022302
296	0.07106260876
297	0.07094261262
298	0.07082313047
299	0.07067424408
300	0.0706017499
301	0.07045003842
302	0.07035140254
303	0.07019465135
304	0.06998549203
305	0.06993186561
306	0.06974503819
307	0.06961684593
308	0.06951539552
309	0.0693880936
310	0.06921230424
311	0.06910350085
312	0.06892880837
313	0.06880182166
314	0.06865962491
315	0.06863843945
316	0.06850017301
317	0.06835188209
318	0.06812222029
319	0.06803019784
320	0.0679017288
