Rank,Model,Test_R2,Test_RMSE,Test_MAE,Train_R2,Train_RMSE,Train_MAE,Overfitting
1,Stacking Ensemble,0.9162888798166358,25339.5264157689,14707.101325316135,0.9891542505712468,8043.010560366382,5597.311384284197,0.07286537075461108
2,Lasso Regression,0.912113795192999,25963.741255476947,16295.07045138036,0.8922956960162077,25345.763891219485,14140.875275295317,-0.019818099176791226
3,XGBoost,0.9112591533508377,26089.676918295554,15320.327094927232,0.9825180184474965,10211.37403624631,6974.952211980953,0.0712588650966588
4,ElasticNet,0.9086000753348037,26477.674321858118,15925.478868633403,0.8577443117618733,29128.872606148572,15099.428344327664,-0.050855763572930424
5,CatBoost,0.9021691455702042,27393.330695707158,15037.564982071997,0.9788012547041012,11244.598005500737,7888.926692582944,0.07663210913389695
6,Gradient Boosting,0.8929789464607768,28651.115016394746,15758.244310185788,0.9767611840401593,11773.236112415492,8397.179043993916,0.08378223757938252
7,Ridge Regression,0.8917263740751596,28818.29333042606,16703.761531850163,0.8639517565638023,28486.252860888566,15021.59112742868,-0.027774617511357347
8,Random Forest,0.8498023247894333,33942.085446038676,18276.04787909418,0.9511608779543155,17067.612719570512,8998.382755996798,0.10135855316488218
